Pressure (Torr),    Voltage (V) #Distance = 0.043cm
0.322,              0.83,
0.348,              0.64,
0.414,              0.72,
0.45,               0.73,
0.546,              0.75,
0.602,              0.84,
0.711,              0.61,
0.813,              0.64,
0.905,              0.67,
1.02,               0.74,
5,                  0.41,
10,                 0.48,
14.5,               0.50,
19.5,               0.50,
25,                 0.50,
29.5,               0.55,
34.5,               0.55,
39.5,               0.54,
44,                 0.53,
49.5,               0.60,
54.5,               0.60,
60.5,               0.60,
67,                 0.64,
73,                 0.64,
80.4,               0.65,
90,                 0.66,
99.5,               0.65,
110,                0.70,
120,                0.68,
125,                0.73,
135,                0.79,
150,                0.84,
165,                0.93,
170,                1.00,
185,                1.08,
195,                1.11,
230,                1.16,
320,                1.10,
430,                1.50,
670,                1.58,
720,                1.73,