Pressure (Torr),    Voltage (V) #Distance = 0.048cm
0.290,              0.48,       0.44
0.441,              0.48,       0.72
0.500,              0.50,       0.85
0.557,              0.50,       0.90
0.592,              0.56,       0.90
0.656,              0.58,       0.95
0.694,              0.37,       1.20
0.758,              0.35,       1.30
0.816,              0.31,       1.50
0.917,              0.31,       1.60
0.963,              0.30,       1.80
1.030,              0.26,       1.90
1.510,              0.23,       3.10
1.910,              0.25,       5.60
2.510,              0.25,       7.00
2.910,              0.27,       11.0
3.400,              0.29,       17.0
4.150,              0.61,       29.0
11.00,              1.10,       74.1
19.50,              1.17,       90.0
29.50,              1.30,       100.
39.00,              1.28,       100.
31.00,              1.27,       100.
49.50,              1.34,       120.
65.00,              1.40,       120. 
81.00,              1.41,       130.
91.5,               1.38,       140.
195,                1.6,        170.